effcap_id,plan_id,mine_id,equipment_id,equipment_type,week_start,road_condition,weather_condition,availability_pct,effective_capacity_ton_day,remark
EFC00000-1,PLAN0001-1,MINE_1,EQ037-1,Excavator,2019-01-01,Fair,Mendung,73,29.46,Optimal
EFC00001-1,PLAN0002-1,MINE_1,EQ037-1,Excavator,2019-01-08,Good,Mendung,96,44.3,Optimal
EFC00002-1,PLAN0003-1,MINE_1,EQ033-1,Loader,2019-01-15,Good,Mendung,93,35.15,Optimal
EFC00003-1,PLAN0004-1,MINE_1,EQ007-1,Dump Truck,2019-01-22,Fair,Mendung,93,1531.46,Optimal
EFC00004-1,PLAN0005-1,MINE_1,EQ017-1,Loader,2019-02-01,Good,Mendung,87,41.2,Optimal
EFC00005-1,PLAN0006-1,MINE_1,EQ037-1,Excavator,2019-02-08,Fair,Mendung,79,34.12,Optimal
EFC00006-1,PLAN0007-1,MINE_1,EQ017-1,Loader,2019-02-15,Fair,Mendung,75,23.44,Optimal
EFC00007-1,PLAN0008-1,MINE_1,EQ038-1,Loader,2019-02-22,Good,Mendung,93,82.86,Optimal
EFC00008-1,PLAN0009-1,MINE_1,EQ043-1,Excavator,2019-03-01,Fair,Mendung,91,35.61,Optimal
EFC00009-1,PLAN0010-1,MINE_1,EQ007-1,Dump Truck,2019-03-08,Fair,Mendung,80,1008.08,Optimal
EFC00010-1,PLAN0011-1,MINE_1,EQ038-1,Loader,2019-03-15,Good,Mendung,79,64.99,Optimal
EFC00011-1,PLAN0012-1,MINE_1,EQ032-1,Loader,2019-03-22,Good,Mendung,87,47.08,Optimal
EFC00012-1,PLAN0013-1,MINE_1,EQ022-1,Excavator,2019-04-01,Good,Mendung,86,45.0,Optimal
EFC00013-1,PLAN0014-1,MINE_1,EQ015-1,Excavator,2019-04-08,Good,Mendung,92,61.26,Optimal
EFC00014-1,PLAN0015-1,MINE_1,EQ033-1,Loader,2019-04-15,Fair,Mendung,92,30.71,Optimal
EFC00015-1,PLAN0016-1,MINE_1,EQ027-1,Excavator,2019-04-22,Fair,Mendung,91,216.04,Optimal
EFC00016-1,PLAN0017-1,MINE_1,EQ030-1,Excavator,2019-05-01,Good,Berawan,78,153.85,Optimal
EFC00017-1,PLAN0018-1,MINE_1,EQ020-1,Excavator,2019-05-08,Good,Mendung,76,4.84,Optimal
EFC00018-1,PLAN0019-1,MINE_1,EQ011-1,Loader,2019-05-15,Good,Mendung,95,25.85,Optimal
EFC00019-1,PLAN0020-1,MINE_1,EQ017-1,Loader,2019-05-22,Good,Mendung,85,28.16,Optimal
EFC00020-1,PLAN0021-1,MINE_1,EQ016-1,Dump Truck,2019-06-01,Good,Mendung,72,1126.98,Optimal
EFC00021-1,PLAN0022-1,MINE_1,EQ007-1,Dump Truck,2019-06-08,Good,Mendung,76,1297.03,Optimal
EFC00022-1,PLAN0023-1,MINE_1,EQ038-1,Loader,2019-06-15,Fair,Mendung,99,64.39,Optimal
EFC00023-1,PLAN0024-1,MINE_1,EQ045-1,Excavator,2019-06-22,Good,Berawan,86,6.03,Optimal
EFC00024-1,PLAN0025-1,MINE_1,EQ017-1,Loader,2019-07-01,Good,Berawan,75,33.96,Optimal
EFC00025-1,PLAN0026-1,MINE_1,EQ023-1,Excavator,2019-07-08,Fair,Hujan lebat,93,42.17,Severe Weather Impact
EFC00026-1,PLAN0027-1,MINE_1,EQ043-1,Excavator,2019-07-15,Fair,Hujan lebat,89,35.25,Severe Weather Impact
EFC00027-1,PLAN0028-1,MINE_1,EQ030-1,Excavator,2019-07-22,Fair,Mendung,73,168.75,Optimal
EFC00028-1,PLAN0029-1,MINE_1,EQ020-1,Excavator,2019-08-01,Fair,Hujan lebat,89,5.99,Severe Weather Impact
EFC00029-1,PLAN0030-1,MINE_1,EQ038-1,Loader,2019-08-08,Good,Hujan lebat,87,62.24,Severe Weather Impact
EFC00030-1,PLAN0031-1,MINE_1,EQ030-1,Excavator,2019-08-15,Fair,Berawan,86,144.76,Optimal
EFC00031-1,PLAN0032-1,MINE_1,EQ041-1,Loader,2019-08-22,Fair,Mendung,78,34.77,Optimal
EFC00032-1,PLAN0033-1,MINE_1,EQ050-1,Dump Truck,2019-09-01,Good,Hujan lebat,96,1049.14,Severe Weather Impact
EFC00033-1,PLAN0034-1,MINE_1,EQ005-1,Dump Truck,2019-09-08,Good,Hujan lebat,86,966.07,Severe Weather Impact
EFC00034-1,PLAN0035-1,MINE_1,EQ037-1,Excavator,2019-09-15,Good,Hujan lebat,86,30.06,Severe Weather Impact
EFC00035-1,PLAN0036-1,MINE_1,EQ041-1,Loader,2019-09-22,Fair,Berawan,87,31.23,Optimal
EFC00036-1,PLAN0037-1,MINE_1,EQ038-1,Loader,2019-10-01,Good,Mendung,82,72.77,Optimal
EFC00037-1,PLAN0038-1,MINE_1,EQ045-1,Excavator,2019-10-08,Good,Mendung,72,6.81,Optimal
EFC00038-1,PLAN0039-1,MINE_1,EQ033-1,Loader,2019-10-15,Fair,Mendung,93,26.37,Optimal
EFC00039-1,PLAN0040-1,MINE_1,EQ007-1,Dump Truck,2019-10-22,Fair,Mendung,83,1392.99,Optimal
EFC00040-1,PLAN0041-1,MINE_1,EQ006-1,Dump Truck,2019-11-01,Good,Mendung,71,897.91,Optimal
EFC00041-1,PLAN0042-1,MINE_1,EQ015-1,Excavator,2019-11-08,Good,Berawan,90,73.62,Optimal
EFC00042-1,PLAN0043-1,MINE_1,EQ037-1,Excavator,2019-11-15,Fair,Mendung,88,31.9,Optimal
EFC00043-1,PLAN0044-1,MINE_1,EQ041-1,Loader,2019-11-22,Good,Mendung,77,27.09,Optimal
EFC00044-1,PLAN0045-1,MINE_1,EQ050-1,Dump Truck,2019-12-01,Fair,Mendung,72,830.49,Optimal
EFC00045-1,PLAN0046-1,MINE_1,EQ027-1,Excavator,2019-12-08,Good,Mendung,89,327.41,Optimal
EFC00046-1,PLAN0047-1,MINE_1,EQ041-1,Loader,2019-12-15,Good,Mendung,74,26.63,Optimal
EFC00047-1,PLAN0048-1,MINE_1,EQ015-1,Excavator,2019-12-22,Good,Mendung,82,50.13,Optimal
EFC00048-2,PLAN0001-2,MINE_2,EQ042-2,Dump Truck,2020-01-01,Good,Mendung,97,1536.93,Optimal
EFC00049-1,PLAN0049-1,MINE_1,EQ032-1,Loader,2020-01-01,Fair,Mendung,91,46.73,Optimal
EFC00050-1,PLAN0050-1,MINE_1,EQ016-1,Dump Truck,2020-01-08,Fair,Mendung,77,1383.18,Optimal
EFC00051-2,PLAN0002-2,MINE_2,EQ040-2,Dump Truck,2020-01-08,Fair,Mendung,92,1214.26,Optimal
EFC00052-1,PLAN0051-1,MINE_1,EQ017-1,Loader,2020-01-15,Good,Mendung,95,43.01,Optimal
EFC00053-2,PLAN0003-2,MINE_2,EQ029-2,Excavator,2020-01-15,Fair,Mendung,85,41.68,Optimal
EFC00054-1,PLAN0052-1,MINE_1,EQ038-1,Loader,2020-01-22,Good,Berawan,94,73.12,Optimal
EFC00055-2,PLAN0004-2,MINE_2,EQ049-2,Loader,2020-01-22,Good,Berawan,92,51.0,Optimal
EFC00056-1,PLAN0053-1,MINE_1,EQ030-1,Excavator,2020-02-01,Good,Mendung,73,134.35,Optimal
EFC00057-2,PLAN0005-2,MINE_2,EQ048-2,Loader,2020-02-01,Good,Mendung,92,31.52,Optimal
EFC00058-2,PLAN0006-2,MINE_2,EQ019-2,Dump Truck,2020-02-08,Fair,Mendung,88,1064.79,Optimal
EFC00059-1,PLAN0054-1,MINE_1,EQ015-1,Excavator,2020-02-08,Good,Mendung,90,85.49,Optimal
EFC00060-2,PLAN0007-2,MINE_2,EQ019-2,Dump Truck,2020-02-15,Good,Mendung,90,1106.35,Optimal
EFC00061-1,PLAN0055-1,MINE_1,EQ007-1,Dump Truck,2020-02-15,Fair,Mendung,80,1330.01,Optimal
EFC00062-2,PLAN0008-2,MINE_2,EQ040-2,Dump Truck,2020-02-22,Good,Berawan,81,1043.41,Optimal
