constraint_id,mine_id,equipment_id,week_start,constraint_type,capacity_value,unit,update_date,remarks
C00000-1,MINE_1,EQ037-1,2019-01-01,Hauling Capacity,500,ton/day,2019-01-05,Kemacetan hauling
C00001-1,MINE_1,EQ037-1,2019-01-08,Excavator Capacity,500,ton/day,2019-01-10,Cuaca kurang mendukung
C00002-1,MINE_1,EQ033-1,2019-01-15,Excavator Capacity,500,ton/day,2019-01-20,Cuaca kurang mendukung
C00003-1,MINE_1,EQ007-1,2019-01-22,Hauling Capacity,500,ton/day,2019-01-27,Jalan rusak
C00004-1,MINE_1,EQ017-1,2019-02-01,Hauling Capacity,500,ton/day,2019-02-04,Akses terhambat
C00005-1,MINE_1,EQ037-1,2019-02-08,Excavator Capacity,500,ton/day,2019-02-08,Curah hujan tinggi
C00006-1,MINE_1,EQ017-1,2019-02-15,Excavator Capacity,500,ton/day,2019-02-20,Cuaca kurang mendukung
C00007-1,MINE_1,EQ038-1,2019-02-22,Hauling Capacity,500,ton/day,2019-02-25,Kemacetan hauling
C00008-1,MINE_1,EQ043-1,2019-03-01,Excavator Capacity,500,ton/day,2019-03-07,Cuaca kurang mendukung
C00009-1,MINE_1,EQ007-1,2019-03-08,Hauling Capacity,500,ton/day,2019-03-11,Akses terhambat
C00010-1,MINE_1,EQ038-1,2019-03-15,Excavator Capacity,500,ton/day,2019-03-19,Material basah
C00011-1,MINE_1,EQ032-1,2019-03-22,Hauling Capacity,500,ton/day,2019-03-25,Kemacetan hauling
C00012-1,MINE_1,EQ022-1,2019-04-01,Excavator Capacity,500,ton/day,2019-04-01,Material basah
C00013-1,MINE_1,EQ015-1,2019-04-08,Hauling Capacity,500,ton/day,2019-04-09,Alur produksi lancar
C00014-1,MINE_1,EQ033-1,2019-04-15,Excavator Capacity,500,ton/day,2019-04-16,Material basah
C00015-1,MINE_1,EQ027-1,2019-04-22,Hauling Capacity,500,ton/day,2019-04-28,Alur produksi lancar
C00016-1,MINE_1,EQ030-1,2019-05-01,Hauling Capacity,500,ton/day,2019-05-06,Maintenance unit
C00017-1,MINE_1,EQ020-1,2019-05-08,Excavator Capacity,500,ton/day,2019-05-09,Operasi normal
C00018-1,MINE_1,EQ011-1,2019-05-15,Excavator Capacity,500,ton/day,2019-05-19,Kondisi lapangan kurang optimal
C00019-1,MINE_1,EQ017-1,2019-05-22,Hauling Capacity,500,ton/day,2019-05-25,Akses terhambat
C00020-1,MINE_1,EQ016-1,2019-06-01,Hauling Capacity,500,ton/day,2019-06-01,Kemacetan hauling
C00021-1,MINE_1,EQ007-1,2019-06-08,Excavator Capacity,500,ton/day,2019-06-12,Cuaca kurang mendukung
C00022-1,MINE_1,EQ038-1,2019-06-15,Hauling Capacity,500,ton/day,2019-06-15,Kerusakan mekanis
C00023-1,MINE_1,EQ045-1,2019-06-22,Excavator Capacity,500,ton/day,2019-06-28,Cuaca kurang mendukung
C00024-1,MINE_1,EQ017-1,2019-07-01,Excavator Capacity,500,ton/day,2019-07-03,Material basah
C00025-1,MINE_1,EQ023-1,2019-07-08,Excavator Capacity,500,ton/day,2019-07-13,Cuaca kurang mendukung
C00026-1,MINE_1,EQ043-1,2019-07-15,Excavator Capacity,500,ton/day,2019-07-20,Kerusakan mekanis
C00027-1,MINE_1,EQ030-1,2019-07-22,Excavator Capacity,500,ton/day,2019-07-23,Cuaca kurang mendukung
C00028-1,MINE_1,EQ020-1,2019-08-01,Hauling Capacity,500,ton/day,2019-08-07,Kemacetan hauling
