shipment_id,mine_id,week_start,vessel_name,destination_port,coal_tonnage,etd,eta,status
SHP00000-1,MINE_1,2019-01-01,MV Nusantara 01,Surabaya,36575,2019-01-05,2019-01-10,On Schedule
SHP00001-1,MINE_1,2019-01-08,MV Nusantara 01,Surabaya,36962,2019-01-10,2019-01-15,Delayed
SHP00002-1,MINE_1,2019-01-15,MV Nusantara 01,Surabaya,38333,2019-01-19,2019-01-23,On Schedule
SHP00003-1,MINE_1,2019-01-22,MV Kalimantan Jaya,Banjarmasin,21396,2019-01-25,2019-01-27,On Schedule
SHP00004-1,MINE_1,2019-02-01,MV Kalimantan Jaya,Banjarmasin,39233,2019-02-03,2019-02-06,On Schedule
SHP00005-1,MINE_1,2019-02-08,MV Nusantara 01,Surabaya,16899,2019-02-13,2019-02-18,On Schedule
SHP00006-1,MINE_1,2019-02-15,MV Kalimantan Jaya,Banjarmasin,23838,2019-02-19,2019-02-22,On Schedule
SHP00007-1,MINE_1,2019-02-22,MV Nusantara 01,Surabaya,25555,2019-02-25,2019-02-28,On Schedule
SHP00008-1,MINE_1,2019-03-01,MV Borneo Star,Banjarmasin,38425,2019-03-02,2019-03-03,On Schedule
SHP00009-1,MINE_1,2019-03-08,MV Nusantara 01,Surabaya,32159,2019-03-11,2019-03-18,On Schedule
SHP00010-1,MINE_1,2019-03-15,MV Borneo Star,Banjarmasin,18943,2019-03-18,2019-03-20,Delayed
SHP00011-1,MINE_1,2019-03-22,MV Borneo Star,Surabaya,35227,2019-03-27,2019-03-31,On Schedule
SHP00012-1,MINE_1,2019-04-01,MV Nusantara 01,Surabaya,15161,2019-04-02,2019-04-08,On Schedule
SHP00013-1,MINE_1,2019-04-08,MV Borneo Star,Banjarmasin,16016,2019-04-13,2019-04-16,Pending
SHP00014-1,MINE_1,2019-04-15,MV Kalimantan Jaya,Surabaya,32262,2019-04-19,2019-04-23,Delayed
SHP00015-1,MINE_1,2019-04-22,MV Borneo Star,Banjarmasin,22208,2019-04-25,2019-04-26,On Schedule
SHP00016-1,MINE_1,2019-05-01,MV Kalimantan Jaya,Banjarmasin,17568,2019-05-01,2019-05-04,Delayed
SHP00017-1,MINE_1,2019-05-08,MV Nusantara 01,Banjarmasin,15391,2019-05-10,2019-05-11,Delayed
SHP00018-1,MINE_1,2019-05-15,MV Kalimantan Jaya,Banjarmasin,21184,2019-05-19,2019-05-21,Pending
SHP00019-1,MINE_1,2019-05-22,MV Kalimantan Jaya,Surabaya,34488,2019-05-25,2019-05-29,On Schedule
SHP00020-1,MINE_1,2019-06-01,MV Nusantara 01,Surabaya,34115,2019-06-05,2019-06-10,On Schedule
SHP00021-1,MINE_1,2019-06-08,MV Nusantara 01,Banjarmasin,29948,2019-06-08,2019-06-11,Pending
SHP00022-1,MINE_1,2019-06-15,MV Nusantara 01,Banjarmasin,15502,2019-06-19,2019-06-21,Delayed
SHP00023-1,MINE_1,2019-06-22,MV Nusantara 01,Banjarmasin,36518,2019-06-22,2019-06-25,On Schedule
SHP00024-1,MINE_1,2019-07-01,MV Kalimantan Jaya,Banjarmasin,27383,2019-07-01,2019-07-02,On Schedule
SHP00025-1,MINE_1,2019-07-08,MV Kalimantan Jaya,Banjarmasin,34626,2019-07-12,2019-07-15,On Schedule
SHP00026-1,MINE_1,2019-07-15,MV Kalimantan Jaya,Surabaya,34541,2019-07-17,2019-07-22,Delayed
SHP00027-1,MINE_1,2019-07-22,MV Borneo Star,Banjarmasin,26252,2019-07-27,2019-07-28,Delayed
SHP00028-1,MINE_1,2019-08-01,MV Borneo Star,Surabaya,25230,2019-08-03,2019-08-07,Delayed
SHP00029-1,MINE_1,2019-08-08,MV Nusantara 01,Surabaya,16306,2019-08-08,2019-08-11,On Schedule
SHP00030-1,MINE_1,2019-08-15,MV Kalimantan Jaya,Banjarmasin,36959,2019-08-17,2019-08-20,On Schedule
SHP00031-1,MINE_1,2019-08-22,MV Borneo Star,Banjarmasin,28545,2019-08-22,2019-08-25,On Schedule
SHP00032-1,MINE_1,2019-09-01,MV Nusantara 01,Banjarmasin,35147,2019-09-06,2019-09-07,On Schedule
SHP00033-1,MINE_1,2019-09-08,MV Kalimantan Jaya,Surabaya,34965,2019-09-11,2019-09-17,On Schedule
SHP00034-1,MINE_1,2019-09-15,MV Nusantara 01,Banjarmasin,32082,2019-09-19,2019-09-20,On Schedule
SHP00035-1,MINE_1,2019-09-22,MV Borneo Star,Surabaya,20855,2019-09-27,2019-10-04,Pending
SHP00036-1,MINE_1,2019-10-01,MV Nusantara 01,Surabaya,33091,2019-10-02,2019-10-09,On Schedule
SHP00037-1,MINE_1,2019-10-08,MV Borneo Star,Surabaya,26447,2019-10-11,2019-10-16,On Schedule
SHP00038-1,MINE_1,2019-10-15,MV Nusantara 01,Surabaya,22777,2019-10-19,2019-10-25,On Schedule
SHP00039-1,MINE_1,2019-10-22,MV Nusantara 01,Banjarmasin,24339,2019-10-22,2019-10-23,On Schedule
